date,country,adm1_name,adm2_name,mkt_name,commodity,currency,price_bdt,source
2013-10-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,60.2,Synthetic (Realistic Bangladesh Data)
2013-11-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,56.24,Synthetic (Realistic Bangladesh Data)
2013-12-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,63.94,Synthetic (Realistic Bangladesh Data)
2014-01-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,65.95,Synthetic (Realistic Bangladesh Data)
2014-02-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,66.84,Synthetic (Realistic Bangladesh Data)
2014-03-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,62.96,Synthetic (Realistic Bangladesh Data)
2014-04-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,59.04,Synthetic (Realistic Bangladesh Data)
2014-05-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,64.71,Synthetic (Realistic Bangladesh Data)
2014-06-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,66.17,Synthetic (Realistic Bangladesh Data)
2014-07-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,68.9,Synthetic (Realistic Bangladesh Data)
2014-08-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,70.57,Synthetic (Realistic Bangladesh Data)
2014-09-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,68.84,Synthetic (Realistic Bangladesh Data)
2014-10-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,63.16,Synthetic (Realistic Bangladesh Data)
2014-11-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,55.84,Synthetic (Realistic Bangladesh Data)
2014-12-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,65.46,Synthetic (Realistic Bangladesh Data)
2015-01-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,70.04,Synthetic (Realistic Bangladesh Data)
2015-02-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,69.86,Synthetic (Realistic Bangladesh Data)
2015-03-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,67.26,Synthetic (Realistic Bangladesh Data)
2015-04-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,66.82,Synthetic (Realistic Bangladesh Data)
2015-05-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,64.01,Synthetic (Realistic Bangladesh Data)
2015-06-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,71.54,Synthetic (Realistic Bangladesh Data)
2015-07-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,73.58,Synthetic (Realistic Bangladesh Data)
2015-08-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,76.54,Synthetic (Realistic Bangladesh Data)
2015-09-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,73.5,Synthetic (Realistic Bangladesh Data)
2015-10-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,68.23,Synthetic (Realistic Bangladesh Data)
2015-11-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,62.75,Synthetic (Realistic Bangladesh Data)
2015-12-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,68.61,Synthetic (Realistic Bangladesh Data)
2016-01-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,76.49,Synthetic (Realistic Bangladesh Data)
2016-02-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,71.56,Synthetic (Realistic Bangladesh Data)
2016-03-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,68.93,Synthetic (Realistic Bangladesh Data)
2016-04-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,69.11,Synthetic (Realistic Bangladesh Data)
2016-05-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,70.97,Synthetic (Realistic Bangladesh Data)
2016-06-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,73.94,Synthetic (Realistic Bangladesh Data)
2016-07-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,75.19,Synthetic (Realistic Bangladesh Data)
2016-08-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,76.09,Synthetic (Realistic Bangladesh Data)
2016-09-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,79.3,Synthetic (Realistic Bangladesh Data)
2016-10-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,71.33,Synthetic (Realistic Bangladesh Data)
2016-11-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,68.82,Synthetic (Realistic Bangladesh Data)
2016-12-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,72.66,Synthetic (Realistic Bangladesh Data)
2017-01-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,76.77,Synthetic (Realistic Bangladesh Data)
2017-02-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,79.5,Synthetic (Realistic Bangladesh Data)
2017-03-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,73.79,Synthetic (Realistic Bangladesh Data)
2017-04-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,71.6,Synthetic (Realistic Bangladesh Data)
2017-05-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,75.6,Synthetic (Realistic Bangladesh Data)
2017-06-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,79.23,Synthetic (Realistic Bangladesh Data)
2017-07-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,85.34,Synthetic (Realistic Bangladesh Data)
2017-08-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,82.18,Synthetic (Realistic Bangladesh Data)
2017-09-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,81.91,Synthetic (Realistic Bangladesh Data)
2017-10-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,78.22,Synthetic (Realistic Bangladesh Data)
2017-11-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,70.37,Synthetic (Realistic Bangladesh Data)
2017-12-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,75.33,Synthetic (Realistic Bangladesh Data)
2018-01-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,81.53,Synthetic (Realistic Bangladesh Data)
2018-02-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,79.2,Synthetic (Realistic Bangladesh Data)
2018-03-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,78.91,Synthetic (Realistic Bangladesh Data)
2018-04-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,77.82,Synthetic (Realistic Bangladesh Data)
2018-05-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,80.78,Synthetic (Realistic Bangladesh Data)
2018-06-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,84.55,Synthetic (Realistic Bangladesh Data)
2018-07-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,84.18,Synthetic (Realistic Bangladesh Data)
2018-08-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,93.4,Synthetic (Realistic Bangladesh Data)
2018-09-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,83.46,Synthetic (Realistic Bangladesh Data)
2018-10-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,79.78,Synthetic (Realistic Bangladesh Data)
2018-11-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,76.15,Synthetic (Realistic Bangladesh Data)
2018-12-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,81.64,Synthetic (Realistic Bangladesh Data)
2019-01-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,89.91,Synthetic (Realistic Bangladesh Data)
2019-02-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,88.02,Synthetic (Realistic Bangladesh Data)
2019-03-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,83.38,Synthetic (Realistic Bangladesh Data)
2019-04-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,81.15,Synthetic (Realistic Bangladesh Data)
2019-05-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,81.4,Synthetic (Realistic Bangladesh Data)
2019-06-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,85.55,Synthetic (Realistic Bangladesh Data)
2019-07-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,87.49,Synthetic (Realistic Bangladesh Data)
2019-08-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,92.6,Synthetic (Realistic Bangladesh Data)
2019-09-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,88.88,Synthetic (Realistic Bangladesh Data)
2019-10-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,91.42,Synthetic (Realistic Bangladesh Data)
2019-11-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,78.47,Synthetic (Realistic Bangladesh Data)
2019-12-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,87.21,Synthetic (Realistic Bangladesh Data)
2020-01-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,90.62,Synthetic (Realistic Bangladesh Data)
2020-02-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,88.95,Synthetic (Realistic Bangladesh Data)
2020-03-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,88.79,Synthetic (Realistic Bangladesh Data)
2020-04-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,83.22,Synthetic (Realistic Bangladesh Data)
2020-05-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,87.55,Synthetic (Realistic Bangladesh Data)
2020-06-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,90.89,Synthetic (Realistic Bangladesh Data)
2020-07-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,95.7,Synthetic (Realistic Bangladesh Data)
2020-08-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,93.43,Synthetic (Realistic Bangladesh Data)
2020-09-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,92.22,Synthetic (Realistic Bangladesh Data)
2020-10-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,89.84,Synthetic (Realistic Bangladesh Data)
2020-11-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,88.14,Synthetic (Realistic Bangladesh Data)
2020-12-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,90.71,Synthetic (Realistic Bangladesh Data)
2021-01-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,100.46,Synthetic (Realistic Bangladesh Data)
2021-02-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,101.92,Synthetic (Realistic Bangladesh Data)
2021-03-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,97.9,Synthetic (Realistic Bangladesh Data)
2021-04-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,87.95,Synthetic (Realistic Bangladesh Data)
2021-05-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,92.48,Synthetic (Realistic Bangladesh Data)
2021-06-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,101.17,Synthetic (Realistic Bangladesh Data)
2021-07-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,101.88,Synthetic (Realistic Bangladesh Data)
2021-08-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,105.08,Synthetic (Realistic Bangladesh Data)
2021-09-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,101.15,Synthetic (Realistic Bangladesh Data)
2021-10-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,92.23,Synthetic (Realistic Bangladesh Data)
2021-11-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,90.63,Synthetic (Realistic Bangladesh Data)
2021-12-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,97.5,Synthetic (Realistic Bangladesh Data)
2022-01-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,105.17,Synthetic (Realistic Bangladesh Data)
2022-02-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,108.01,Synthetic (Realistic Bangladesh Data)
2022-03-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,97.96,Synthetic (Realistic Bangladesh Data)
2022-04-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,95.1,Synthetic (Realistic Bangladesh Data)
2022-05-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,100.45,Synthetic (Realistic Bangladesh Data)
2022-06-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,100.22,Synthetic (Realistic Bangladesh Data)
2022-07-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,109.39,Synthetic (Realistic Bangladesh Data)
2022-08-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,106.48,Synthetic (Realistic Bangladesh Data)
2022-09-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,111.33,Synthetic (Realistic Bangladesh Data)
2022-10-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,99.58,Synthetic (Realistic Bangladesh Data)
2022-11-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,96,Synthetic (Realistic Bangladesh Data)
2022-12-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,99.67,Synthetic (Realistic Bangladesh Data)
2023-01-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,112.85,Synthetic (Realistic Bangladesh Data)
2023-02-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,108.1,Synthetic (Realistic Bangladesh Data)
2023-03-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,103.68,Synthetic (Realistic Bangladesh Data)
2023-04-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,106.15,Synthetic (Realistic Bangladesh Data)
2023-05-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,103.73,Synthetic (Realistic Bangladesh Data)
2023-06-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,106.18,Synthetic (Realistic Bangladesh Data)
2023-07-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,116.67,Synthetic (Realistic Bangladesh Data)
2023-08-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,116.97,Synthetic (Realistic Bangladesh Data)
2023-09-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,115.98,Synthetic (Realistic Bangladesh Data)
2023-10-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,111.1,Synthetic (Realistic Bangladesh Data)
2023-11-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,100.17,Synthetic (Realistic Bangladesh Data)
2023-12-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Rice,BDT,111.16,Synthetic (Realistic Bangladesh Data)
2010-01-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,44.8,Synthetic (Realistic Bangladesh Data)
2010-02-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,45.03,Synthetic (Realistic Bangladesh Data)
2010-03-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,41.42,Synthetic (Realistic Bangladesh Data)
2010-04-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,41.46,Synthetic (Realistic Bangladesh Data)
2010-05-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,39.18,Synthetic (Realistic Bangladesh Data)
2010-06-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,45.67,Synthetic (Realistic Bangladesh Data)
2010-07-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,47.17,Synthetic (Realistic Bangladesh Data)
2010-08-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,46.6,Synthetic (Realistic Bangladesh Data)
2010-09-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,43.19,Synthetic (Realistic Bangladesh Data)
2010-10-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,42.96,Synthetic (Realistic Bangladesh Data)
2010-11-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,41.45,Synthetic (Realistic Bangladesh Data)
2010-12-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,43.4,Synthetic (Realistic Bangladesh Data)
2011-01-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,47.59,Synthetic (Realistic Bangladesh Data)
2011-02-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,45.66,Synthetic (Realistic Bangladesh Data)
2011-03-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,44.7,Synthetic (Realistic Bangladesh Data)
2011-04-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,43.24,Synthetic (Realistic Bangladesh Data)
2011-05-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,43.4,Synthetic (Realistic Bangladesh Data)
2011-06-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,44.21,Synthetic (Realistic Bangladesh Data)
2011-07-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,49.76,Synthetic (Realistic Bangladesh Data)
2011-08-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,50.46,Synthetic (Realistic Bangladesh Data)
2011-09-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,46.64,Synthetic (Realistic Bangladesh Data)
2011-10-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,42.58,Synthetic (Realistic Bangladesh Data)
2011-11-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,43.58,Synthetic (Realistic Bangladesh Data)
2011-12-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,45.54,Synthetic (Realistic Bangladesh Data)
2012-01-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,50.59,Synthetic (Realistic Bangladesh Data)
2012-02-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,47.38,Synthetic (Realistic Bangladesh Data)
2012-03-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,45.53,Synthetic (Realistic Bangladesh Data)
2012-04-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,46.93,Synthetic (Realistic Bangladesh Data)
2012-05-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,46.95,Synthetic (Realistic Bangladesh Data)
2012-06-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,49.64,Synthetic (Realistic Bangladesh Data)
2012-07-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,54.54,Synthetic (Realistic Bangladesh Data)
2012-08-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,52.81,Synthetic (Realistic Bangladesh Data)
2012-09-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,47.74,Synthetic (Realistic Bangladesh Data)
2012-10-01,Bangladesh,Dhaka,Dhaka,Dhaka Central Market,Wheat Flour,BDT,47.82,Synthetic (Realistic Bangladesh Data)
